id,zanr
486,High Fantasy

487,Nonfiction

487,History

487,Crime

488,Historical

488,Historical Fiction

488,Young Adult

489,Horror

489,Fiction

489,Thriller

490,Science Fiction

490,Fiction

490,Fantasy

491,Fiction

491,Classics

491,Short Stories

492,Fiction

492,Contemporary

492,Thriller

493,Childrens

493,Picture Books

493,Childrens

494,Nonfiction

494,History

494,Cultural

495,Fiction

495,Horror

495,Thriller

496,Fiction

496,Young Adult

496,Classics

497,Childrens

497,Picture Books

497,Childrens

499,Fantasy

499,Fiction

499,Classics

500,Fiction

500,Philosophy

500,Spirituality

501,Nonfiction

501,True Crime

501,Mystery

502,Classics

502,Poetry

502,Fiction

503,Classics

503,Plays

503,Fiction

504,Fiction

504,Magical Realism

504,Classics

505,Nonfiction

505,History

505,Science

507,Historical Fiction

507,Fiction

507,Historical

508,Fiction

508,Magical Realism

508,Classics

509,Classics

509,Mystery

509,Fiction

510,Historical Fiction

510,Fiction

510,Historical

511,Fantasy

511,Young Adult

511,Fiction

512,Fiction

512,Historical

512,Historical Fiction

513,Science Fiction

513,Fiction

513,Classics

514,Nonfiction

514,Language

514,Writing

515,Philosophy

515,Classics

515,Nonfiction

516,Classics

516,Fiction

516,Literature

517,Self Help

517,Nonfiction

517,Psychology

518,Classics

518,Fiction

518,Historical Fiction

519,Short Stories

519,Fiction

519,Horror

520,Classics

520,Plays

520,Fiction

522,Fantasy

522,Fiction

522,Epic Fantasy

523,Fantasy

523,Young Adult

523,Fantasy

524,Fiction

524,Young Adult

524,Novels

525,Fiction

525,Classics

525,Thriller

526,Nonfiction

526,History

526,Holocaust

527,Nonfiction

527,Psychology

527,Self Help

528,Fiction

528,Contemporary

528,Literary Fiction

529,Classics

529,Science Fiction

529,Fiction

530,Fiction

530,Classics

530,Science Fiction

531,Fiction

531,Historical Fiction

531,Mystery

532,Nonfiction

532,Adventure

532,Memoir

533,Fiction

533,Historical

533,Historical Fiction

534,Fiction

534,Philosophy

534,Spirituality

535,Crime

535,True Crime

535,Nonfiction

536,Fantasy

536,Fiction

536,Young Adult

537,Contemporary

537,Fiction

537,Adult

538,Fiction

538,Classics

538,Young Adult

539,Psychology

539,Nonfiction

539,Self Help

540,Fiction

540,Contemporary

540,Magical Realism

541,Philosophy

541,Nonfiction

541,Classics

542,Fiction

542,Classics

542,Historical

543,Horror

543,Fiction

543,Thriller

544,Fiction

544,Mystery

544,Thriller

545,Young Adult

